存储桶名称,地域,存储类型,存储桶创建时间,冗余类型（LRS-本地冗余｜ZRS-同城冗余）,版本控制,传输加速,容量,容量（Byte）,标准型存储量,标准型存储量（Byte）,低频型计费存储量,低频型计费存储量（Byte）,归档型计费存储量,归档型计费存储量（Byte）,冷归档型计费存储量,冷归档型计费存储量（Byte）,深度冷归档型计费存储量,深度冷归档型计费存储量（Byte）,本月公网流量,本月公网流量（Byte）,本月请求次数,标签,读写权限,
tanzania-core-data,oss-me-east-1,Standard,Thu Dec 07 14:32:17 CST 2023,LRS,Disabled,Disabled,307.074GB,329718056208,307.074GB,329718056208,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1123,--,public-read,
tanzania-device-data,oss-me-east-1,Standard,Thu Dec 07 14:31:55 CST 2023,LRS,Disabled,Disabled,81.511GB,87521765727,81.511GB,87521765727,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1124,--,public-read,
tanzania-order-data,oss-me-east-1,Standard,Thu Dec 07 14:31:20 CST 2023,LRS,Disabled,Disabled,338.66GB,363633456422,338.66GB,363633456422,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1123,--,public-read,
contact-discord-to-restore-your-data,oss-eu-west-1,Standard,Mon Aug 03 03:22:38 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1129,--,private,
fdfbchgcjh,oss-eu-west-1,Standard,Tue Aug 18 10:02:31 CST 2026,ZRS,Disabled,Disabled,226.0Byte,226,226.0Byte,226,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,175.459KB,179670,1924,"{""nigeria"":""533""}",private,
financial-data,oss-eu-west-1,Standard,Thu Mar 30 15:46:41 CST 2023,LRS,Disabled,Disabled,52.992MB,55565852,52.992MB,55565852,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1474,--,public-read,
flashloan703sddfd,oss-eu-west-1,Standard,Mon Aug 24 14:02:50 CST 2026,ZRS,Disabled,Disabled,176.0Byte,176,176.0Byte,176,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,17.188KB,17600,1229,"{""nigeria"":""528""}",private,
get-your-data-back,oss-eu-west-1,Standard,Mon Aug 03 01:09:30 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1126,--,private,
get-your-production-loan-data-back-here,oss-eu-west-1,Standard,Mon Aug 03 03:21:35 CST 2026,LRS,Disabled,Disabled,1.232KB,1262,1.232KB,1262,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1128,--,private,
jkdlkjkfd,oss-eu-west-1,Standard,Mon Aug 03 19:15:46 CST 2026,ZRS,Disabled,Disabled,59.0Byte,59,59.0Byte,59,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,40.505KB,41477,1847,"{""nigeria"":""529""}",private,
ngeria-core-data,oss-eu-west-1,Standard,Fri Apr 12 17:54:27 CST 2024,LRS,Disabled,Disabled,233.027GB,250211024784,233.027GB,250211024784,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,13.442MB,14095218,22699,--,public-read,
ngeria-device-data-2023,oss-eu-west-1,Standard,Fri Mar 31 14:20:22 CST 2023,LRS,Disabled,Enabled,135.999GB,146027862234,135.999GB,146027862234,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1.359GB,1459126064,44986,--,public-read,
ngeria-order-data-2023,oss-eu-west-1,Standard,Fri Mar 31 14:21:08 CST 2023,LRS,Disabled,Enabled,10.317GB,11078285958,10.317GB,11078285958,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,0.0Byte,0,1123,--,public-read,
